COUNTRY,INDICATOR,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Finland,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28491.135,25650.711,22497.298,17641.392,20406.2,26322.115,25806.206,24750.37,26064.759,26236.007,24369.776,24998.587,26999.895,32954.317,37812.031,39142.224,41300.022,48586.821,53894.581,47538.607,46647.994,51174.768,47693.7,49804.351,50180.785,42625.16,43502.557,46109.916,49698.347,48395.834,48827.138,53203.799,50551.801,53026.111,53326.396,54162.987,56239.277,58112.449,60052.487,62139.816,64433.701
Denmark,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,13824.64,11994.613,11737.06,11791.596,11515.53,12218.954,17150.903,21304.876,22525.652,21894.222,26914.854,27044.086,29632.327,27624.212,30023.075,35440.899,35703.887,32841.426,33405.3,33477.76,30777.178,30823.475,33304.059,40572.443,46684.835,48998.314,52213.64,58786.14,64826.681,58536.553,58240.45,61920.301,58559.563,61512.411,62700.908,53316.984,54699.182,57683.746,61456.783,59489.614,61075.932,69927.264,68434.674,68618.872,72041.536,74969.186,78341.544,80969.499,83375.398,86235.003,89008.547
Czech Republic,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,,,,,,,,,,,,,,,,5861.187,6569.378,6065.51,6521.063,6374.041,6048.872,6659.088,8096.686,9857.191,11784.605,13458.775,15281.951,18513.803,22895.716,19863.767,20184.18,22068.782,20024.209,20256.925,20063.059,17944.844,18731.83,20882.415,23661.699,24013.061,23464.296,27667.664,27876.28,31630.134,31542.861,33039.214,34651.647,36061.371,37588.372,39190.495,40869.94
Germany,"Gross domestic product (GDP), Current prices, US dollar",Billions,856.833,720.895,696.088,694.447,654.289,663.459,947.583,1179.165,1271.263,1262.0,1604.497,1882.489,2146.14,2080.092,2220.165,2595.269,2507.448,2221.504,2250.847,2216.072,1967.85,1966.395,2100.865,2534.081,2851.023,2894.992,3046.47,3484.467,3808.369,3476.022,3470.987,3824.155,3600.175,3808.142,3966.823,3423.915,3536.808,3761.764,4053.846,3957.645,3936.989,4351.188,4166.872,4527.009,4658.526,4744.804,4911.746,5083.216,5251.928,5416.003,5575.689
Germany,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,11150.445,9363.773,9048.007,9058.272,8569.045,8710.65,12432.393,15467.993,16575.159,16291.592,20323.326,23538.989,26660.209,25697.119,27359.713,31918.986,30778.982,27254.373,27636.064,27217.026,24158.215,24122.365,25752.683,31074.334,35000.56,35592.675,37530.238,43021.966,47153.994,43189.389,43233.452,47637.891,44763.54,47220.321,48983.25,41914.927,42949.139,45510.535,48897.189,47629.1,47341.768,52300.607,49725.343,53565.041,54989.76,55911.042,57800.968,59771.21,61734.023,63650.043,65524.753
France,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,12623.85,11057.517,10433.377,9921.765,9357.211,9753.414,13487.79,16241.482,17650.437,17639.404,21735.528,21675.374,23775.543,22357.695,23505.585,26927.038,26883.799,24309.419,25024.875,24755.925,22502.094,22486.945,24295.367,29675.139,33876.29,34964.765,36685.03,41762.59,45753.56,41943.313,40988.558,44197.638,41150.451,42951.716,43277.417,36775.676,37081.496,38756.651,41539.756,40487.302,39230.928,43848.345,41096.683,44792.016,46203.675,46792.41,48210.897,49530.452,50958.288,52418.747,53951.199
Greece,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,5865.653,5347.26,5545.699,4980.328,4827.409,4765.272,5592.106,6486.385,7526.494,7769.62,9544.71,10139.849,11077.903,10306.377,10968.169,12816.689,13459.426,13070.508,13075.654,13369.562,11826.517,12186.368,13789.85,18036.4,21468.468,22101.329,24452.035,28476.246,31740.794,29426.018,26679.741,25457.905,21557.251,21498.365,21412.642,17921.051,17901.38,18602.048,19867.086,19332.053,17839.122,20456.642,20942.384,23388.611,24716.307,25756.247,26980.644,27895.445,28900.787,29930.384,31014.022
France,"Gross domestic product (GDP), Current prices, US dollar",Billions,695.475,612.552,581.254,555.956,526.671,551.596,766.302,927.257,1012.843,1017.702,1260.874,1263.244,1392.563,1315.795,1388.477,1596.25,1599.248,1451.058,1498.974,1488.392,1361.56,1370.386,1491.373,1834.637,2108.835,2193.358,2317.985,2656.13,2926.483,2697.144,2648.391,2869.903,2684.706,2816.119,2861.973,2442.731,2469.726,2587.955,2782.838,2723.094,2645.806,2968.405,2797.049,3056.88,3162.023,3211.292,3317.916,3418.285,3526.684,3637.929,3754.78
Israel,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,6396.519,6729.335,7084.884,7737.141,7231.345,6603.672,8005.197,9407.928,11463.224,11466.04,13117.723,14011.679,15115.703,14800.871,16470.651,19047.02,20271.918,20522.98,20207.806,19849.194,21717.968,20973.123,19087.376,19671.531,20593.467,21285.46,22558.596,25738.706,30278.46,28521.786,31450.574,34534.693,33335.488,37050.035,38360.456,36227.66,37683.004,41155.578,42378.813,44265.482,44579.44,52293.574,54986.351,52023.616,54191.61,57760.129,59701.461,61602.747,63618.276,65699.977,67851.401
Italy,"Gross domestic product (GDP), Current prices, US dollar",Billions,479.967,435.267,430.169,446.399,441.048,455.457,645.071,809.632,897.006,932.931,1164.328,1229.898,1305.099,1049.47,1082.455,1177.984,1315.136,1246.34,1274.381,1256.251,1150.169,1172.049,1280.841,1582.534,1811.987,1866.013,1958.667,2222.785,2417.242,2207.085,2146.687,2306.568,2099.259,2153.259,2173.815,1845.615,1886.59,1970.027,2100.387,2019.831,1905.956,2180.656,2105.722,2305.271,2372.059,2422.855,2504.607,2566.489,2634.076,2705.116,2779.44
